"Time (s)","X (hPa)"
4.251987762E2,1.008800735E3
4.262737492E2,1.008801727E3
4.273487012E2,1.008801727E3
4.284237132E2,1.008801193E3
4.294987622E2,1.008800964E3
4.305738062E2,1.008799667E3
4.316488822E2,1.008798981E3
4.327239502E2,1.008798981E3
4.337989842E2,1.008800278E3
4.348739822E2,1.008800278E3
4.359489882E2,1.008796921E3
4.370239772E2,1.008794556E3
4.380990032E2,1.008791275E3
4.391740032E2,1.008782578E3
4.402490302E2,1.008774567E3
4.413240632E2,1.008768311E3
4.423989722E2,1.008764725E3
4.434739892E2,1.008762207E3
4.445490192E2,1.008762207E3
4.456240292E2,1.008766785E3
4.466990432E2,1.008773804E3
4.477740572E2,1.008778610E3
4.488490752E2,1.008785782E3
4.499241052E2,1.008790359E3
4.509991022E2,1.008790970E3
4.520740902E2,1.008790970E3
4.531490842E2,1.008789062E3
4.542241192E2,1.008784714E3
4.552991772E2,1.008779907E3
4.563742282E2,1.008775253E3
4.574491822E2,1.008770752E3
4.585241522E2,1.008766785E3
4.595991092E2,1.008763504E3
4.606740812E2,1.008761444E3
4.617490402E2,1.008761139E3
4.628240222E2,1.008760681E3
4.638990142E2,1.008760681E3
4.649740292E2,1.008762207E3
4.660490552E2,1.008762436E3
4.671240142E2,1.008762207E3
4.681989862E2,1.008761826E3
4.692739792E2,1.008758850E3
4.703489622E2,1.008756485E3
4.714239452E2,1.008754349E3
4.724989622E2,1.008754349E3
4.735739392E2,1.008756104E3
4.746488862E2,1.008760223E3
4.757238452E2,1.008763885E3
4.767988652E2,1.008771210E3
4.778737782E2,1.008776855E3
4.789487982E2,1.008779831E3
4.800237862E2,1.008784027E3
4.810987632E2,1.008787079E3
4.821737242E2,1.008788300E3
4.832486852E2,1.008788452E3
4.843236442E2,1.008791428E3
4.853985892E2,1.008795242E3
4.864736282E2,1.008796921E3
4.875486252E2,1.008797531E3
4.886236372E2,1.008798828E3
4.896985762E2,1.008798828E3
4.907735532E2,1.008796692E3
4.918485722E2,1.008794632E3
4.929235852E2,1.008793793E3
4.939985932E2,1.008792648E3
4.950736132E2,1.008791275E3
4.961485952E2,1.008789749E3
4.972235802E2,1.008789749E3
4.982986192E2,1.008789597E3
4.993735672E2,1.008790359E3
5.004486072E2,1.008789597E3
5.015235632E2,1.008789749E3
5.025985282E2,1.008789749E3
5.036734782E2,1.008789749E3
5.047484632E2,1.008789062E3
5.058234712E2,1.008788910E3
5.068984922E2,1.008788910E3
5.079735282E2,1.008788910E3
5.090485502E2,1.008789291E3
5.101235852E2,1.008789291E3
5.111986422E2,1.008787231E3
5.122736172E2,1.008785400E3
5.133485802E2,1.008780518E3
5.144235592E2,1.008774338E3
5.154985732E2,1.008767471E3
5.165735392E2,1.008761292E3
5.176485322E2,1.008744736E3
5.187234912E2,1.008740921E3
5.197984422E2,1.008739700E3
5.208734742E2,1.008739014E3
5.219485112E2,1.008739014E3
5.230234982E2,1.008746338E3
